iter	Passed	Remaining
347	617	1156
348	618	1154
349	620	1151
350	622	1150
351	623	1148
352	624	1145
353	626	1142
354	627	1140
355	628	1137
356	630	1135
357	631	1132
358	633	1130
359	634	1128
360	636	1125
361	637	1123
362	638	1120
363	639	1117
364	641	1115
365	642	1113
366	643	1110
367	645	1107
368	646	1105
369	647	1103
370	649	1100
371	650	1097
372	651	1095
373	652	1092
374	653	1089
375	654	1086
376	655	1083
377	656	1080
378	658	1078
379	659	1075
380	660	1073
381	661	1070
382	663	1068
383	664	1065
384	665	1063
385	666	1060
386	690	1093
387	691	1091
388	693	1089
389	695	1087
390	696	1085
391	698	1083
392	701	1083
393	712	1095
394	714	1093
395	715	1091
396	717	1089
397	718	1087
398	720	1085
399	722	1083
400	723	1080
401	725	1078
402	727	1077
403	729	1076
404	731	1074
405	734	1074
406	738	1076
407	740	1074
408	742	1073
409	750	1079
410	754	1080
411	757	1080
412	759	1079
413	762	1078
414	763	1076
415	766	1075
416	767	1073
417	768	1070
418	770	1068
419	771	1065
420	772	1062
421	773	1060
422	775	1057
423	776	1054
424	777	1052
425	778	1049
426	779	1046
427	780	1043
428	781	1040
429	783	1038
430	784	1036
431	786	1033
432	787	1031
433	789	1029
434	790	1027
435	792	1024
436	793	1022
437	795	1020
438	798	1020
439	801	1020
440	804	1019
441	806	1018
442	807	1015
443	809	1013
444	810	1010
445	811	1008
446	812	1005
447	815	1005
448	817	1002
449	818	999
450	819	997
451	820	995
452	821	992
453	823	990
454	824	987
455	825	985
456	826	982
457	828	980
458	829	978
459	831	975
460	832	973
461	833	970
462	834	968
463	836	966
464	839	966
465	841	963
466	842	961
467	843	958
468	845	957
469	846	955
470	848	952
471	850	951
472	852	949
473	853	947
474	855	945
475	857	943
476	859	942
477	861	940
478	863	939
479	864	936
480	865	934
481	866	931
482	867	928
483	869	926
484	870	923
485	873	923
486	874	921
487	876	919
488	877	916
489	878	914
490	879	911
491	880	909
492	881	906
493	882	903
494	883	901
495	885	899
496	886	897
497	888	895
498	889	892
499	890	890
500	892	888
501	893	886
502	894	883
503	895	881
504	896	879
505	897	876
506	899	874
507	900	871
508	901	869
509	903	867
510	904	865
511	905	863
512	906	860
513	907	858
514	908	855
515	910	853
516	911	851
517	912	849
518	914	847
519	915	844
520	916	842
521	918	840
522	919	838
523	920	836
524	921	833
525	923	831
526	924	829
527	925	827
528	926	824
529	927	822
530	928	820
531	930	818
532	931	816
533	933	814
534	934	812
535	935	809
536	936	807
537	937	805
538	938	802
539	939	800
540	940	798
541	942	796
542	943	793
543	944	791
544	945	789
545	947	787
546	948	785
547	949	783
548	950	780
549	951	778
550	952	776
551	954	774
552	955	772
553	956	769
554	957	767
555	958	765
556	960	763
557	961	761
558	962	759
559	963	757
560	964	755
561	966	752
562	967	750
563	968	748
564	969	746
565	970	744
566	971	741
567	972	739
568	974	737
569	975	735
570	976	733
571	977	731
572	979	729
573	980	727
574	981	725
575	982	723
576	983	721
577	984	718
578	985	716
579	986	714
580	988	712
581	989	710
582	990	708
583	992	706
584	993	704
585	994	702
586	995	700
587	996	698
588	997	696
589	998	694
590	999	691
591	1000	689
592	1002	687
593	1003	685
594	1004	683
595	1006	681
596	1007	679
597	1008	677
598	1009	675
599	1010	673
600	1011	671
601	1013	669
602	1014	667
603	1016	666
604	1017	664
605	1019	663
606	1021	661
607	1022	659
608	1023	657
609	1024	655
610	1025	652
611	1026	650
612	1027	648
613	1028	646
614	1029	644
615	1030	642
616	1031	640
617	1033	638
618	1035	637
619	1036	635
620	1037	633
621	1039	631
622	1040	629
623	1041	627
624	1042	625
625	1044	623
626	1045	621
627	1046	620
628	1048	618
629	1050	617
630	1051	615
631	1052	612
632	1053	610
633	1054	608
634	1056	606
635	1057	605
636	1058	603
637	1059	601
638	1060	599
639	1061	597
640	1064	596
641	1066	594
642	1067	592
643	1069	591
644	1070	589
645	1071	587
646	1072	585
647	1074	583
648	1075	581
649	1076	579
650	1078	578
651	1079	576
652	1080	574
653	1082	572
654	1083	570
655	1084	568
656	1085	566
657	1086	564
658	1087	562
659	1088	560
660	1090	559
661	1092	557
662	1093	555
663	1095	554
664	1096	552
665	1097	550
666	1098	548
667	1099	546
668	1100	544
669	1102	542
670	1103	540
671	1104	538
672	1105	536
673	1106	535
674	1108	533
675	1109	531
676	1111	530
677	1112	528
678	1113	526
679	1114	524
680	1115	522
681	1116	520
682	1118	518
683	1119	517
684	1121	515
685	1123	514
686	1124	512
687	1125	510
688	1126	508
689	1127	506
690	1128	504
691	1130	503
692	1131	501
693	1132	499
694	1135	498
695	1136	496
696	1137	494
697	1138	492
698	1139	490
699	1141	489
700	1142	487
701	1143	485
702	1144	483
703	1145	481
704	1147	480
705	1149	478
706	1150	476
707	1152	475
708	1153	473
709	1154	471
710	1155	469
711	1156	467
712	1158	466
713	1159	464
714	1161	462
715	1163	461
716	1165	459
717	1166	458
718	1168	456
719	1170	455
720	1171	453
721	1172	451
722	1174	449
723	1176	448
724	1179	447
725	1180	445
726	1181	443
727	1183	442
728	1184	440
729	1185	438
730	1186	436
731	1187	434
732	1188	433
733	1189	431
734	1191	429
735	1193	428
736	1195	426
737	1196	424
738	1197	422
739	1199	421
740	1200	419
741	1201	417
742	1202	415
743	1204	414
744	1206	412
745	1207	411
746	1209	409
747	1210	407
748	1212	406
749	1213	404
750	1214	402
751	1215	400
752	1217	399
753	1218	397
754	1220	395
755	1222	394
756	1223	392
757	1224	390
758	1225	389
759	1227	387
760	1228	385
761	1229	384
762	1230	382
763	1232	380
764	1233	378
765	1235	377
766	1236	375
767	1237	373
768	1239	372
769	1240	370
770	1241	368
771	1242	366
772	1243	365
773	1244	363
774	1245	361
775	1246	359
776	1247	358
777	1249	356
778	1251	354
779	1252	353
780	1253	351
781	1254	349
782	1255	348
783	1257	346
784	1258	344
785	1259	342
786	1260	341
787	1261	339
788	1262	337
789	1264	336
790	1266	334
791	1267	332
792	1268	331
793	1269	329
794	1271	327
795	1272	326
796	1273	324
797	1274	322
798	1275	320
799	1277	319
800	1278	317
801	1280	316
802	1281	314
803	1282	312
804	1283	310
805	1284	309
806	1286	307
807	1287	305
808	1288	304
809	1289	302
810	1290	300
811	1291	299
812	1294	297
813	1295	296
814	1296	294
815	1297	292
816	1298	290
817	1300	289
818	1301	287
819	1302	285
820	1303	284
821	1304	282
822	1306	280
823	1307	279
824	1308	277
825	1310	276
826	1312	274
827	1313	272
828	1314	271
829	1315	269
830	1316	267
831	1317	266
832	1318	264
833	1320	262
834	1321	261
835	1322	259
836	1323	257
837	1325	256
838	1326	254
839	1327	252
840	1328	251
841	1329	249
842	1330	247
843	1331	246
844	1332	244
845	1333	242
846	1334	241
847	1335	239
848	1336	237
849	1339	236
850	1340	234
851	1341	233
852	1342	231
853	1343	229
854	1344	228
855	1346	226
856	1347	224
857	1348	223
858	1350	221
859	1351	220
860	1353	218
861	1354	216
862	1356	215
863	1357	213
864	1358	211
865	1359	210
866	1360	208
867	1361	207
868	1363	205
869	1364	203
870	1365	202
871	1366	200
872	1368	199
873	1369	197
874	1371	195
875	1372	194
876	1373	192
877	1374	190
878	1375	189
879	1376	187
880	1377	186
881	1378	184
882	1379	182
883	1380	181
884	1382	179
885	1384	178
886	1385	176
887	1386	174
888	1387	173
889	1388	171
890	1389	169
891	1391	168
892	1392	166
893	1393	165
894	1395	163
895	1396	162
896	1397	160
897	1399	158
898	1400	157
899	1401	155
900	1402	154
901	1403	152
902	1404	150
903	1406	149
904	1407	147
905	1413	146
906	1414	145
907	1415	143
908	1417	141
909	1418	140
910	1419	138
911	1420	137
912	1421	135
913	1422	133
914	1423	132
915	1424	130
916	1425	129
917	1427	127
918	1428	125
919	1429	124
920	1430	122
921	1431	121
922	1433	119
923	1434	117
924	1435	116
925	1436	114
926	1437	113
927	1438	111
928	1440	110
929	1441	108
930	1442	106
931	1443	105
932	1445	103
933	1446	102
934	1447	100
935	1448	99
936	1449	97
937	1451	95
938	1452	94
939	1453	92
940	1454	91
941	1456	89
942	1457	88
943	1458	86
944	1460	84
945	1461	83
946	1462	81
947	1464	80
948	1465	78
949	1466	77
950	1467	75
951	1468	74
952	1470	72
953	1471	70
954	1472	69
955	1473	67
956	1474	66
957	1475	64
958	1477	63
959	1478	61
960	1479	60
961	1480	58
962	1481	56
963	1482	55
964	1483	53
965	1485	52
966	1486	50
967	1487	49
968	1488	47
969	1489	46
970	1491	44
971	1492	42
972	1493	41
973	1494	39
974	1495	38
975	1497	36
976	1498	35
977	1499	33
978	1500	32
979	1501	30
980	1503	29
981	1504	27
982	1505	26
983	1506	24
984	1507	22
985	1508	21
986	1509	19
987	1511	18
988	1512	16
989	1514	15
990	1515	13
991	1516	12
992	1518	10
993	1519	9
994	1520	7
995	1521	6
996	1522	4
997	1523	3
998	1524	1
999	1526	0
